Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 2,1230,Spruce Avenue,45-49,93
Ward 4,2720,York,45-49,159
Ward 8,6710,Strathearn,55-59,161
Ward 5,4140,Elmwood,65-69,126
Ward 8,5370,River Valley Mayfair,45-49,0
Ward 9,5405,River Valley Windermere,0-4,0
Ward 10,5160,Duggan,60-64,227
Ward 6,3210,Grovenor,5-9,122
Ward 7,2660,Rundle Heights,10-14,189
Ward 9,5401,River Valley Fort Edmonton,30-34,0
Ward 6,1030,Central McDougall,5-9,152
Ward 3,3190,Elsinore,60-64,182
Ward 8,6630,River Valley Riverside,35-39,0
Ward 2,3410,Sherbrooke,65-69,121
Ward 3,3120,Chambery,70-74,51
Ward 9,5380,River Valley Terwillegar,70-74,0
Ward 8,6230,Forest Heights,30-34,303
Ward 9,5090,Brookside,65-69,105
Ward 5,4070,Callingwood North,5-9,131
Ward 1,4486,Stewart Greens,55-59,27
Ward 4,2145,Clareview Town Centre,80-84,18
Ward 3,2600,Ozerna,55-59,395
Ward 10,5280,Malmo Plains,25-29,207
Ward 1,4520,Summerlea,65-69,91
Ward 2,3470,Carlton,50-54,262
Ward 11,6290,Hazeldean,80-84,36
Ward 4,2110,Brintnell,85+,17
Ward 1,4230,Jasper Park,75-79,26
Ward 4,2380,Kennedale Industrial,Prefer Not to Answer,0
Ward 2,3250,Kensington,30-34,180
Ward 11,6420,Maple Ridge Industrial,10-14,0
Ward 2,3070,Calder,30-34,248
Ward 1,4310,Meadowlark Park,10-14,126
Ward 10,5110,Calgary Trail North,10-14,0
Ward 3,2511,Mayliewan,55-59,346
Ward 11,6170,Davies Industrial West,85+,0
Ward 9,5090,Brookside,25-29,66
Ward 11,6510,Mill Woods Park,0-4,0
Ward 10,5320,Pleasantview,65-69,160
Ward 9,5190,Falconer Heights,45-49,100
Ward 10,5458,Allard,80-84,14
Ward 10,5160,Duggan,10-14,251
Ward 8,6380,Lambton Industrial,70-74,0
Ward 12,6661,Charlesworth,5-9,484
Ward 11,6680,Satoo,0-4,146
Ward 10,5220,Greenfield,35-39,176
Ward 12,6445,Aster,55-59,0
Ward 9,5640,Terwillegar Towne,25-29,284
Ward 5,4070,Callingwood North,65-69,78
Ward 12,6662,Walker,10-14,710
Ward 11,6492,Mill Creek Ravine South,45-49,0
Ward 7,1160,Parkdale,50-54,229
Ward 4,2590,Overlanders,0-4,148
Ward 1,4730,Suder Greens,65-69,117
Ward 5,4560,Thorncliff,0-4,185
Ward 9,5610,Haddow,15-19,321
Ward 9,5630,Leger,45-49,213
Ward 1,4640,Wilson Industrial,75-79,0
Ward 6,3210,Grovenor,40-44,114
Ward 10,5460,Skyrattler,5-9,95
Ward 8,6240,Fulton Place,25-29,116
Ward 5,4467,River Valley Cameron,25-29,0
Ward 7,2580,Northmount,35-39,164
Ward 2,3410,Sherbrooke,20-24,102
Ward 10,5160,Duggan,55-59,226
Ward 8,6230,Forest Heights,0-4,140
Ward 8,6350,Kenilworth,85+,110
Ward 5,4220,Jamieson Place,50-54,281
Ward 9,5130,Carter Crest,15-19,92
Ward 7,2100,Beverly Heights,50-54,166
Ward 9,5380,River Valley Terwillegar,25-29,0
Ward 1,4700,Breckenridge Greens,0-4,60
Ward 5,4466,Cameron Heights,15-19,108
Ward 2,3090,Carlisle,80-84,46
Ward 7,2060,Bellevue,65-69,46
Ward 10,5400,River Valley Whitemud,50-54,0
Ward 4,2430,Kirkness,10-14,220
Ward 12,6663,Decoteau,35-39,4
Ward 1,4230,Jasper Park,50-54,109
Ward 10,5453,Blackmud Creek,60-64,173
Ward 10,5030,Bearspaw,35-39,118
Ward 5,3382,River Valley Laurier,50-54,0
Ward 1,4590,West Meadowlark Park,40-44,199
Ward 2,3250,Kensington,35-39,164
Ward 9,5340,Ramsay Heights,20-24,173
Ward 4,2110,Brintnell,65-69,156
Ward 1,4710,Potter Greens,70-74,122
Ward 11,6560,Papaschase Industrial,65-69,0
Ward 9,5380,River Valley Terwillegar,40-44,0
Ward 11,6420,Maple Ridge Industrial,30-34,0
Ward 4,2710,Sifton Park,30-34,140
Ward 4,2160,Clover Bar Area,15-19,0
Ward 1,4471,Trumpeter Area,40-44,139
Ward 3,3120,Chambery,55-59,147
Ward 7,2660,Rundle Heights,85+,26
Ward 2,4150,Gagnon Estate Industrial,20-24,0
Ward 8,5580,Windsor Park,10-14,70
Ward 1,4020,Aldergrove,55-59,354
Ward 3,2450,Lago Lindo,40-44,196
Ward 5,4390,Patricia Heights,65-69,61
Ward 4,4022,Anthony Henday Clareview,15-19,0
Ward 3,2463,Crystallina Nera West,65-69,24
Ward 1,4660,Youngstown Industrial,85+,0
Ward 10,5540,Westbrook Estates,80-84,39
Ward 7,1270,Yellowhead Corridor East,75-79,0
Ward 6,3440,Westmount,45-49,352
Ward 4,2030,Bannerman,85+,22
Ward 10,5451,Richford,10-14,29
Ward 9,5469,Paisley,15-19,40
Ward 7,2560,Newton,45-49,123
Ward 2,3260,Lauderdale,75-79,50
Ward 11,6410,Maple Ridge,15-19,53
Ward 10,5457,Callaghan,25-29,344
Ward 1,4630,White Industrial,80-84,0
Ward 3,2260,Evansdale,20-24,249
Ward 12,6790,Wild Rose,35-39,565
Ward 11,6700,Strathcona Industrial Park,55-59,0
Ward 11,6370,Kiniski Gardens,35-39,473
Ward 10,5540,Westbrook Estates,15-19,86
Ward 1,4040,Belmead,40-44,302
Ward 1,3330,Parkview,80-84,67
Ward 11,6330,Jackson Heights,5-9,176
Ward 10,5467,Cavanagh,55-59,23
Ward 2,4210,High Park Industrial,Prefer Not to Answer,0
Ward 2,1250,Westwood,50-54,142
Ward 10,5470,Steinhauer,70-74,104
Ward 10,5400,River Valley Whitemud,10-14,0
Ward 7,1160,Parkdale,55-59,216
Ward 12,6216,The Orchards At Ellerslie,5-9,339
Ward 2,4210,High Park Industrial,40-44,0
Ward 1,4590,West Meadowlark Park,Prefer Not to Answer,527
Ward 12,6211,Ellerslie,20-24,288
Ward 7,2560,Newton,40-44,121
Ward 1,3140,Crestwood,Prefer Not to Answer,206
Ward 2,4023,Anthony Henday Rampart,20-24,0
Ward 1,4650,Winterburn Industrial Area East,35-39,0
Ward 9,5463,Desrochers Area,25-29,96
Ward 11,6290,Hazeldean,5-9,148
Ward 5,4469,River's Edge,75-79,0
Ward 11,6100,Coronet Industrial,10-14,0
Ward 1,4500,Sherwood,20-24,47
Ward 7,1010,Alberta Avenue,50-54,320
Ward 2,3260,Lauderdale,45-49,158
Ward 1,4240,La Perle,15-19,306
Ward 2,3430,Wellington,15-19,158
Ward 11,6570,Parsons Industrial,45-49,0
Ward 8,5200,Garneau,70-74,135
Ward 2,4050,Bonaventure Industrial,15-19,0
Ward 4,2590,Overlanders,50-54,134
Ward 10,5430,Royal Gardens,80-84,65
Ward 11,6020,Avonmore,25-29,116
Ward 9,5630,Leger,5-9,115
Ward 5,4110,Dechene,75-79,64
Ward 10,4024,Anthony Henday South Blackburne,0-4,0
Ward 4,2145,Clareview Town Centre,50-54,181
Ward 11,6520,Mill Woods Town Centre,45-49,50
Ward 4,2380,Kennedale Industrial,15-19,0
Ward 9,5565,Whitemud Creek Ravine Twin Brooks,0-4,0
Ward 11,6650,Rosedale Industrial,20-24,0
Ward 1,4240,La Perle,20-24,272
Ward 9,5476,Magrath Heights,Prefer Not to Answer,228
Ward 4,2160,Clover Bar Area,Prefer Not to Answer,0
Ward 4,2340,Hollick-Kenyon,45-49,401
Ward 9,5469,Paisley,80-84,1
Ward 5,4140,Elmwood,80-84,74
Ward 3,3040,Beaumaris,35-39,232
Ward 10,5220,Greenfield,85+,107
Ward 5,4551,Granville,Prefer Not to Answer,163
Ward 1,4750,Rosenthal,15-19,205
Ward 11,6480,Michaels Park,20-24,112
Ward 11,6400,Lee Ridge,80-84,24
Ward 4,2350,Homesteader,70-74,109
Ward 7,1130,Elmwood Park,0-4,49
Ward 8,5480,Strathcona,10-14,172
Ward 7,1080,Delton,55-59,121
Ward 2,4015,Anthony Henday Mistatim,75-79,0
Ward 11,6450,Menisa,20-24,129
Ward 7,2020,Balwin,0-4,194
Ward 5,4463,Riverview Area,65-69,22
Ward 8,5290,McKernan,Prefer Not to Answer,529
Ward 11,6570,Parsons Industrial,30-34,0
Ward 10,5540,Westbrook Estates,60-64,69
Ward 4,2320,Hairsine,85+,13
Ward 11,6640,Roper Industrial,10-14,0
Ward 8,6310,Holyrood,Prefer Not to Answer,478
Ward 11,6400,Lee Ridge,Prefer Not to Answer,253
Ward 9,5463,Desrochers Area,30-34,155
Ward 9,5452,MacEwan,30-34,519
Ward 8,6180,Eastgate Business Park,65-69,0
Ward 2,3150,Cumberland,15-19,394
Ward 3,3190,Elsinore,45-49,121
Ward 10,5360,Rideau Park,75-79,67
Ward 2,3430,Wellington,60-64,193
Ward 2,3050,Brown Industrial,35-39,0
Ward 10,5540,Westbrook Estates,45-49,67
Ward 1,4486,Stewart Greens,65-69,21
Ward 12,6214,Ellerslie Industrial,70-74,0
Ward 11,6720,Tawa,85+,63
Ward 6,1180,Queen Mary Park,55-59,305
Ward 5,4280,Lynnwood,75-79,74
Ward 10,5280,Malmo Plains,65-69,97
Ward 9,5642,South Terwillegar,75-79,81
Ward 11,6360,King Edward Park,20-24,312
Ward 10,5260,Lansdowne,80-84,62
Ward 5,4560,Thorncliff,35-39,273
Ward 7,2640,River Valley Highlands,80-84,0
Ward 3,2511,Mayliewan,0-4,99
Ward 3,2450,Lago Lindo,65-69,266
Ward 7,1160,Parkdale,15-19,108
Ward 5,4420,Quesnell Heights,35-39,11
Ward 7,2330,Highlands,0-4,110
Ward 4,2380,Kennedale Industrial,75-79,0
Ward 2,3410,Sherbrooke,Prefer Not to Answer,335
Ward 1,4630,White Industrial,5-9,0
Ward 10,5470,Steinhauer,55-59,152
Ward 4,2160,Clover Bar Area,30-34,0
Ward 12,6662,Walker,75-79,67
Ward 6,1020,Boyle Street,45-49,304
Ward 5,4360,Oleskiw,15-19,123
Ward 2,1230,Spruce Avenue,75-79,25
Ward 11,6190,Edmonton Research and Development Park,20-24,0
Ward 3,4017,Anthony Henday Lake District,15-19,0
Ward 12,6662,Walker,85+,11
Ward 1,4600,West Sheffield Industrial,10-14,0
Ward 11,6360,King Edward Park,15-19,197
Ward 8,6550,Ottewell,30-34,402
Ward 4,2720,York,50-54,187
Ward 4,2280,Fraser,85+,28
Ward 11,6480,Michaels Park,85+,17
Ward 10,5110,Calgary Trail North,15-19,0
